Iteración,Mejor Fitness,Fitness Promedio
286,7.683568273468239e-09,0.0
287,7.683568273468239e-09,0.0
288,7.683568273468239e-09,0.0
289,7.683568273468239e-09,0.0
290,7.683568273468239e-09,0.0
291,5.944888373439845e-09,0.0
292,5.7888873903548195e-09,0.0
293,5.3651535061723974e-09,0.0
294,4.271154075776354e-09,0.0
295,3.0690586624746907e-09,0.0
296,3.0690586624746907e-09,0.0
297,2.5225398064687763e-09,0.0
298,1.9835653212743415e-09,0.0
299,1.5590621110534394e-09,0.0
300,1.5590621110534394e-09,0.0
301,1.4138012599807478e-09,0.0
302,1.4138012599807478e-09,0.0
303,1.4138012599807478e-09,0.0
304,1.4138012599807478e-09,0.0
305,1.0572271761422399e-09,0.0
306,1.0572271761422399e-09,0.0
307,1.0085133341461492e-09,0.0
308,1.0085133341461492e-09,0.0
309,1.0085133341461492e-09,0.0
310,1.0085133341461492e-09,0.0
311,7.831262465791157e-10,0.0
312,7.46156498663454e-10,0.0
313,6.394547711857055e-10,0.0
314,6.394547711857055e-10,0.0
315,6.156979346635377e-10,0.0
316,6.156979346635377e-10,0.0
317,6.156979346635377e-10,0.0
318,6.156979346635377e-10,0.0
319,5.089037967493836e-10,0.0
320,5.089037967493836e-10,0.0
321,4.4394408308506465e-10,0.0
322,2.999345295972799e-10,0.0
323,2.8245802284241225e-10,0.0
324,2.767526697599782e-10,0.0
325,2.4600177197947723e-10,0.0
326,1.9649683876536767e-10,0.0
327,1.9649683876536767e-10,0.0
328,1.917335010090908e-10,0.0
329,1.6452704403797475e-10,0.0
330,1.1215861439509736e-10,0.0
331,1.1215861439509736e-10,0.0
332,1.1215861439509736e-10,0.0
333,6.980259233777854e-11,0.0
334,6.82749415626169e-11,0.0
335,6.82749415626169e-11,0.0
336,6.82749415626169e-11,0.0
337,6.82749415626169e-11,0.0
338,6.82749415626169e-11,0.0
339,6.82749415626169e-11,0.0
340,6.82749415626169e-11,0.0
341,6.82749415626169e-11,0.0
342,6.106585826330099e-11,0.0
343,6.106585826330099e-11,0.0
344,4.97623142615384e-11,0.0
345,4.224416906963731e-11,0.0
346,4.224416906963731e-11,0.0
347,2.089996760343828e-11,0.0
348,2.089996760343828e-11,0.0
349,2.089996760343828e-11,0.0
350,1.9579637364313612e-11,0.0
351,1.9579637364313612e-11,0.0
352,1.9579637364313612e-11,0.0
353,1.9579637364313612e-11,0.0
354,1.9579637364313612e-11,0.0
355,1.9579637364313612e-11,0.0
356,1.9579637364313612e-11,0.0
357,1.1623883660564523e-11,0.0
358,1.0375524104542561e-11,0.0
359,1.0375524104542561e-11,0.0
360,1.0375524104542561e-11,0.0
361,1.0375524104542561e-11,0.0
362,1.0375524104542561e-11,0.0
363,8.690424691974746e-12,0.0
364,7.887283512389702e-12,0.0
365,7.887283512389702e-12,0.0
366,5.433981108634114e-12,0.0
367,4.964820513310026e-12,0.0
368,3.4713827845574848e-12,0.0
369,3.4713827845574848e-12,0.0
370,3.4713827845574848e-12,0.0
371,3.1456339588685548e-12,0.0
372,2.5662790936653827e-12,0.0
373,2.5662790936653827e-12,0.0
374,2.153741729992038e-12,0.0
375,2.153741729992038e-12,0.0
376,2.153741729992038e-12,0.0
377,2.153741729992038e-12,0.0
378,2.1222018993629827e-12,0.0
379,2.1222018993629827e-12,0.0
380,2.1222018993629827e-12,0.0
381,2.1222018993629827e-12,0.0
382,2.0991171849764606e-12,0.0
383,2.0991171849764606e-12,0.0
384,1.7277000047674534e-12,0.0
385,1.696273015645199e-12,0.0
386,1.1544355688189996e-12,0.0
387,1.1544355688189996e-12,0.0
388,6.389653325220949e-13,0.0
389,6.355313768463509e-13,0.0
390,6.355313768463509e-13,0.0
391,5.768389981534081e-13,0.0
392,5.768389981534081e-13,0.0
393,5.768389981534081e-13,0.0
394,5.768389981534081e-13,0.0
395,5.126753065930109e-13,0.0
396,2.8138506158281175e-13,0.0
397,2.8138506158281175e-13,0.0
398,2.8138506158281175e-13,0.0
399,2.8138506158281175e-13,0.0
400,2.8138506158281175e-13,0.0
401,2.8138506158281175e-13,0.0
402,2.8138506158281175e-13,0.0
403,2.8138506158281175e-13,0.0
404,2.8138506158281175e-13,0.0
405,2.804757495822972e-13,0.0
406,2.5268465969716206e-13,0.0
407,1.8773802493126413e-13,0.0
408,1.4455306360407326e-13,0.0
409,1.4455306360407326e-13,0.0
410,1.0553198778323835e-13,0.0
411,1.0511761722335981e-13,0.0
412,9.969502912221351e-14,0.0
413,9.969502912221351e-14,0.0
414,9.969502912221351e-14,0.0
415,8.90710206131884e-14,0.0
416,6.929816791158165e-14,0.0
417,6.571375184928868e-14,0.0
418,5.935865229217168e-14,0.0
419,3.949473064117923e-14,0.0
420,3.7353455471590026e-14,0.0
421,2.7985718338257214e-14,0.0
422,2.672366418817063e-14,0.0
423,2.3407133788280016e-14,0.0
424,2.3407133788280016e-14,0.0
425,2.3407133788280016e-14,0.0
426,2.3407133788280016e-14,0.0
427,2.3407133788280016e-14,0.0
428,2.3407133788280016e-14,0.0
429,2.315528624011853e-14,0.0
430,2.174600944804966e-14,0.0
431,1.7994527487913682e-14,0.0
432,1.3671343063428951e-14,0.0
433,1.2511866623616926e-14,0.0
434,9.95295009740997e-15,0.0
435,9.95295009740997e-15,0.0
436,9.95295009740997e-15,0.0
437,9.95295009740997e-15,0.0
438,9.809234016758628e-15,0.0
439,9.809234016758628e-15,0.0
440,9.809234016758628e-15,0.0
441,9.809234016758628e-15,0.0
442,9.698750315006534e-15,0.0
443,9.540865709607969e-15,0.0
