Iteración,Fitness
412,8.664435274734257e-14
413,6.919039182806865e-14
414,5.834202448505144e-14
415,5.834202448505144e-14
416,5.834202448505144e-14
417,5.834202448505144e-14
418,5.404995496275502e-14
419,5.362803074462963e-14
420,5.246403564855413e-14
421,4.987092492423783e-14
422,4.987092492423783e-14
423,4.138804203412067e-14
424,2.947400895612715e-14
425,2.8307647166639636e-14
426,2.4042436452793173e-14
427,2.2170711880158296e-14
428,1.7705528387091684e-14
429,1.5574795780633147e-14
430,1.5574795780633147e-14
431,1.5574795780633147e-14
432,1.5574795780633147e-14
433,1.5574795780633147e-14
434,1.2934985594791716e-14
435,1.126246881514913e-14
436,1.1127968513029998e-14
437,1.0900469332227398e-14
438,7.971261630343875e-15
439,7.971261630343875e-15
440,7.971261630343875e-15
441,7.971261630343875e-15
442,7.32640182458602e-15
443,6.640053481285997e-15
444,4.2927733773120455e-15
445,4.2927733773120455e-15
446,4.2927733773120455e-15
447,4.2927733773120455e-15
448,4.2927733773120455e-15
449,3.708015247248308e-15
450,3.708015247248308e-15
451,3.708015247248308e-15
452,3.708015247248308e-15
453,3.708015247248308e-15
454,3.116504768760572e-15
455,3.116504768760572e-15
456,1.9319231168083026e-15
457,1.9319231168083026e-15
458,1.9319231168083026e-15
459,1.80123968233148e-15
460,1.4065704935131711e-15
461,1.4065704935131711e-15
462,1.4065704935131711e-15
463,1.4065704935131711e-15
464,1.2498041644477618e-15
465,9.401797507014682e-16
466,7.973210998125983e-16
467,7.973210998125983e-16
468,7.044736482790712e-16
469,7.044736482790712e-16
470,5.401593601015734e-16
471,5.401593601015734e-16
472,5.17974340131496e-16
473,5.17974340131496e-16
474,5.17974340131496e-16
475,4.2081964100578377e-16
476,3.364572877711954e-16
477,2.615313566362925e-16
478,2.328858295979749e-16
479,2.2430746445764043e-16
480,2.2430746445764043e-16
481,1.3357540619827827e-16
482,1.277877185371556e-16
483,1.1643021756868026e-16
484,1.1643021756868026e-16
485,1.1643021756868026e-16
486,1.133279075657241e-16
487,9.479776543766906e-17
488,9.479776543766906e-17
489,8.540981015492618e-17
490,8.418792376775304e-17
491,7.591875144986023e-17
492,6.95371915227374e-17
493,5.865678412966559e-17
494,5.865678412966559e-17
495,4.09229519548821e-17
496,3.216238317347478e-17
497,3.216238317347478e-17
498,3.216238317347478e-17
499,3.216238317347478e-17
500,3.216238317347478e-17
